Feature ID,State,State Abbreviation,State FIPS Code,County,Locale,POINT_X,POINT_Y,Distance to Nearest School (meters),NCES School ID of Nearest School,Name of Nearest School,Name of School District,LEAID of School District,Electric Utility,Census Tract ID,Total population,Percent people of color,Percent low-income households,PM2.5 (μg/m3),Ozone concentration (ppb),PM2.5 percentile,Ozone percentile
3816,Maryland,MD,24,Anne Arundel County,Suburban,-76.62784938,39.07314556,,,,Anne Arundel County Public Schools,2400060,BALTIMORE GAS & ELECTRIC CO,24003702100,6193,15%,7%,7.8,69.5,39,92
3817,Maryland,MD,24,Anne Arundel County,Suburban,-76.47277998,39.0320885,,,,Anne Arundel County Public Schools,2400060,BALTIMORE GAS & ELECTRIC CO,24003731103,5666,19%,8%,7.6,70.4,33,94
3818,Maryland,MD,24,Anne Arundel County,Suburban,-76.64617923,38.99961636,,,,Anne Arundel County Public Schools,2400060,BALTIMORE GAS & ELECTRIC CO,24003751700,2771,11%,2%,7.7,68.4,38,89
3819,Maryland,MD,24,Anne Arundel County,Suburban,-76.59245264,38.94738213,,,,Anne Arundel County Public Schools,2400060,BALTIMORE GAS & ELECTRIC CO,24003701101,4352,7%,5%,7.5,67.2,33,85
3820,Maryland,MD,24,Queen Anne's County,Suburban,-76.309574,38.98013832,124,240054001194,Kent Island Elementary School,Queen Annes County Public Schools,2400540,"CHOPTANK ELECTRIC COOPERATIVE, INC",24035810800,5770,11%,11%,7.2,71.3,24,95
3821,Maryland,MD,24,Queen Anne's County,Suburban,-76.30060781,38.9758508,,,,Queen Annes County Public Schools,2400540,"CHOPTANK ELECTRIC COOPERATIVE, INC",24035810800,5770,11%,11%,7.2,71.3,24,95
3822,Maryland,MD,24,Queen Anne's County,Suburban,-76.18780248,38.96175861,91,240054001193,Grasonville Elementary School,Queen Annes County Public Schools,2400540,"CHOPTANK ELECTRIC COOPERATIVE, INC",24035810700,3897,23%,27%,7,70.4,21,94
3823,Maryland,MD,24,Caroline County,Rural,-75.83578983,38.98571307,,,,Caroline County Public Schools,2400180,"CHOPTANK ELECTRIC COOPERATIVE, INC",24011955100,5887,14%,29%,7.1,62.4,21,58
3824,Maryland,MD,24,Caroline County,Rural,-75.79497399,38.96553305,,,,Caroline County Public Schools,2400180,"CHOPTANK ELECTRIC COOPERATIVE, INC",24011955100,5887,14%,29%,7.1,62.4,21,58
3825,Maryland,MD,24,Caroline County,Rural,-75.79352639,38.95227363,,,,Caroline County Public Schools,2400180,"CHOPTANK ELECTRIC COOPERATIVE, INC",24011955100,5887,14%,29%,7.1,62.4,21,58
3826,Maryland,MD,24,Caroline County,Rural,-75.82104813,38.88492278,,,,Caroline County Public Schools,2400180,"CHOPTANK ELECTRIC COOPERATIVE, INC",24011955302,3077,36%,56%,7.1,62,22,56
3827,Maryland,MD,24,Garrett County,Town,-79.34241128,39.55751012,,,,Garrett County Public Schools,2400360,THE POTOMAC EDISON COMPANY,24023000502,2868,11%,23%,6.3,56.5,10,15
3828,Maryland,MD,24,Allegany County,Urban,-78.96864155,39.579571,,,,Allegany County Public Schools,2400030,THE POTOMAC EDISON COMPANY,24001002100,3018,4%,29%,6.4,55.5,11,10
